livingSpaceRange,livingSpace,noRoomsRange,noRooms,yearConstructedRange,yearConstructed,regio1_numeric,big_city,totalRent
6,129.0,5,5.0,1.0,1910.0,4,1,849.0
2,58.0,2,2.0,1.0,1894.0,4,0,365.0
7,157.07,4,4.0,9.0,2018.0,12,0,2535.0
1,40.0,1,1.0,4.0,1990.0,12,1,580.0
3,71.4,3,3.0,4.0,1983.0,1,1,510.0
1,38.5,1,1.5,1.0,1895.0,5,0,379.0
3,69.36,3,3.0,2.0,1956.0,1,0,513.4
3,79.99,4,4.0,3.0,1972.0,13,0,701.0
3,75.95,3,3.5,3.0,1971.0,8,1,726.0
3,61.6,3,3.0,3.0,1972.0,2,0,410.32
4,92.39,3,3.0,5.0,1992.0,8,1,1150.0
5,115.0,3,3.5,1.0,1885.0,16,1,2340.0
3,75.0,3,3.0,4.0,1984.0,8,1,690.0
2,49.08,2,2.0,1.0,1936.0,5,0,440.0
3,62.76,2,2.0,4.0,1983.0,14,1,1140.0
3,70.0,3,3.0,3.0,1977.0,8,0,579.0
3,73.58,2,2.5,3.0,1980.0,7,0,660.0
2,60.0,2,2.0,2.0,1968.0,13,1,1570.0
4,85.0,3,3.0,4.0,1981.0,7,0,650.0
4,87.0,3,3.0,2.0,1965.0,11,0,575.0
3,80.08,3,3.0,8.0,2014.0,8,0,520.0
2,42.55,1,1.0,9.0,2019.0,8,1,1055.0
7,184.0,5,5.0,1.0,1700.0,13,0,1930.0
3,78.45,2,2.5,8.0,2015.0,8,0,908.0
5,105.0,4,4.0,4.0,1989.0,14,0,1900.0
3,63.0,2,2.0,2.0,1960.0,11,0,530.0
2,54.28,2,2.0,5.0,1998.0,4,1,540.0
6,146.43,4,4.0,5.0,1997.0,15,1,2650.0
2,59.0,2,2.0,4.0,1984.0,8,1,560.0
4,90.77,4,4.0,2.0,1960.0,7,0,650.0
4,90.75,3,3.0,8.0,2012.0,16,1,1479.5
3,77.0,2,2.0,3.0,1977.0,8,0,650.0
3,67.32,3,3.0,2.0,1954.0,13,0,572.43
2,52.54,2,2.5,4.0,1984.0,8,1,535.0
2,41.0,1,1.0,2.0,1967.0,8,1,850.0
