regio1,baseRent
12,440.0
12,440.0
12,440.0
12,440.0
12,440.0
12,440.0
12,440.0
12,440.0
12,440.0
12,440.0
12,440.0
12,440.25
12,442.0
12,442.5
12,444.0
12,444.0
12,445.0
12,445.0
12,445.0
12,445.0
12,445.0
12,445.0
12,445.0
12,445.0
12,445.0
12,445.0
12,445.0
12,445.0
12,445.0
12,447.0
12,447.0
12,448.0
12,449.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,450.0
12,452.0
12,452.0
12,455.0
12,455.0
12,455.0
12,455.0
12,455.0
12,455.0
12,455.0
12,455.0
12,455.0
12,455.0
12,455.18
12,455.88
12,456.0
12,457.08
12,458.0
12,458.0
12,458.0
12,459.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,460.0
12,462.0
12,462.0
12,462.0
12,462.52
12,463.34
12,463.58
12,464.58
12,465.0
12,465.0
12,465.0
12,465.0
12,465.0
12,465.0
12,465.0
12,465.0
12,467.0
12,467.0
12,469.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,470.0
12,472.0
12,473.0
12,474.0
12,474.31
12,475.0
12,475.0
12,475.0
12,475.0
12,475.0
12,475.0
12,475.0
12,475.0
12,475.0
12,475.0
12,475.0
12,475.0
12,475.0
12,475.0
12,475.0
12,476.0
12,476.0
12,478.0
12,479.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
12,480.0
